,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m196,0.6476234,0.6902537,0.3434012,0.8495007,0.4996222,0.7031927,0.532247,0.3866636,0.4318231,0.6747568,0.671288,0.5588518,0.4786519,0.2535498,0.3247775,0.3162874,0.3296001,0.3755575,0.7065642,0.5328445,0.6093984,0.6785348,0.7270926,0.5833862,0.2333566,0.4494105,0.7416393,0.7467611,0.3638914,0.6195699,0.4920438,0.7445598,0.6225117,0.6916704,0.6303774,0.4776355,0.7639398,0.7008577,0.4222252,0.6378939,0.4006546,0.5126428,0.4477756,0.6433409,,0.7236245,0.3008169,,0.7802362,0.5875036,0.8522242,0.4760436,0.3193902,1.0,0.2745784,0.3945091,0.5825994,0.8655281,0.5235752,,0.6951848,0.6071931,0.7007658,,,0.7799114,,,,0.691908,,0.4044433,0.9453793,0.5248635,0.3036271,0.5866379,0.5105499,0.3788215,0.6949551,0.7871699,0.3582103,0.4053239,0.7525444,0.6400987,0.6272429,0.7082016,0.7851553,0.3344897,0.7780375,0.4841774,0.6256056,0.7726455,0.6025938,0.6447169,0.4430345,,0.4449118,,0.5830507,0.9415878
m1960,0.3327664,0.3177124,0.6094422,0.3582229,0.4375907,0.2567706,0.6280649,0.6339329,0.4080093,0.2834242,0.3225114,0.4082184,0.6013019,0.6972848,0.4933453,0.6131859,0.5654699,0.5687405,0.1785899,0.8975901,0.4647615,0.2786036,0.2485005,0.297946,0.6864205,0.5823863,0.1372393,,0.6666934,0.3906849,0.4553683,0.3013403,0.4479899,0.4347936,0.3935996,0.4968671,0.3101602,0.4874892,0.3548277,0.5869405,0.545254,0.210152,0.4327331,0.1483345,,0.3569656,0.7004157,0.282487,,0.3243498,0.2741787,0.4217876,0.617419,,0.6227028,0.4805119,0.2219683,0.4739416,0.3528557,,0.2763117,0.4291441,0.1831729,0.6300525,,0.3209528,,,,0.4380228,,0.478804,0.2798726,0.4891693,0.580131,0.5885088,0.5499759,0.3592667,0.4065254,0.2810696,0.6551659,0.5420644,0.2971295,0.2719969,0.3530191,0.3140559,0.2422924,0.5665363,0.2348142,0.4908139,0.6396911,0.3445351,0.2917269,0.4915792,0.4243652,,0.5776937,0.2879299,0.4508878,0.4372092
m1961,0.393811,0.3170847,0.6181828,0.2236469,0.4863498,0.3173691,0.5078106,0.6176461,0.4963785,0.1857296,0.4469492,0.4646867,0.5954895,0.6040114,0.4448072,0.6179658,0.5927687,0.6467351,0.2338547,0.6359781,0.3492808,0.2915339,0.3726069,0.3979039,0.7332214,0.5556765,0.1804746,,0.7212318,0.4365037,0.5701781,0.2087765,0.251985,0.6216084,0.3979301,0.5789316,0.4293225,0.2986105,0.472826,0.6369834,0.4907867,0.4123802,0.5257455,0.3320018,0.2935482,0.2232045,0.59522,0.3990449,0.0480121,0.3637577,0.1382957,0.5001081,,0.0407523,0.6756957,0.4626783,0.440765,0.4804827,0.4988674,,0.3152909,0.3203459,0.2591926,0.4436397,,0.2148777,,0.4461279,,0.391094,,0.5113158,0.1884986,0.2994419,0.6891601,0.3725052,0.4127643,0.522642,0.2395905,0.2315541,0.5154184,0.5983995,0.28984,0.3340919,0.3577558,0.3162121,0.2712758,0.6974239,0.3346853,0.5389871,0.3863704,0.4082959,0.3129443,0.3645429,0.5904916,,0.5731757,0.3166856,0.3720383,0.2191358
m1962,0.4081278,0.3389654,0.5707449,0.4604907,0.5389841,0.4202421,0.4806124,0.5863673,0.4246785,0.3237449,0.5579453,0.4352945,0.6582165,0.6867139,0.7037602,0.5540347,0.6043596,0.5891237,0.487161,0.8098425,0.3636437,0.3900242,0.3639869,0.402088,0.6002978,0.56929,0.2151509,,0.724879,0.4691036,0.545446,0.2099055,0.3145997,0.6158205,0.399633,0.6969086,0.3196062,0.5800277,0.5121324,0.4602843,0.4115281,0.1798548,0.5807088,0.3096083,0.4005044,0.2686806,0.5295839,0.5751305,,0.3812655,0.189231,0.3847343,,,0.5964917,0.5711043,0.4391946,0.4129938,0.4438651,,0.2976276,0.2202609,0.2913109,0.6432613,,0.2420694,,,,0.4340291,,0.5223334,0.1748286,0.3674175,0.6162845,0.4112456,0.4357756,0.557103,0.3053957,0.3960405,0.5287251,0.5736317,0.4966788,0.3899615,0.4479123,0.367713,0.1945057,0.5859169,0.055235,0.4393889,0.5516579,0.5507035,0.2805977,0.3972958,0.4627936,,0.5341439,0.3826337,0.43741,0.4010936
m1963,0.3576152,0.2495478,0.5526739,,0.3784729,0.2463679,0.6386139,0.6852012,0.3139988,0.3220104,0.3739248,0.5198757,0.4045801,0.6052987,0.4014708,0.6535782,0.5843229,0.6634217,,0.244537,0.3547295,0.3427764,0.237934,0.4560061,0.7541195,0.5303295,,,0.5518482,0.3293813,0.3752277,0.0595359,0.1594227,0.460702,0.3856229,0.506255,0.1984537,0.3357496,0.6962479,0.4240112,0.5442893,0.1471091,0.3609517,0.3591222,,0.3543527,0.6997918,0.7804638,,0.3444161,0.2676594,0.3589076,,0.2889335,0.5326218,0.3889837,,0.8811728,0.2892802,,0.5545357,,0.3899681,0.9356666,,0.2481272,,0.610325,,0.2928834,,0.4032019,,0.3685183,0.4581884,0.6338812,0.6013483,0.378611,0.2362511,0.1854427,0.7050599,0.6443662,0.1532433,0.2979727,0.5262714,0.2174281,,0.7541344,0.6393826,0.3924376,0.0236489,0.5631264,0.2164838,0.4912179,0.4337848,,0.6661187,0.4027633,0.4665546,
m1964,0.4280911,0.4257088,0.5485632,0.7213264,0.4498275,0.2383061,0.5962027,0.4849834,0.3810627,0.4240962,0.3163303,0.4154714,0.354583,0.6849226,0.4059506,0.5862885,0.5085007,0.5586724,,0.6791972,0.6175986,0.3881703,0.3559905,0.3946446,0.6069023,0.4732744,,,0.4779881,0.5225669,0.2864765,0.3257079,0.3082441,0.3809525,0.4669153,0.5276137,0.19154,0.5508282,0.7347969,0.5381751,0.5541225,0.2334611,0.3013319,0.3564475,,0.2217027,0.438297,0.8075693,,0.2704792,0.3620413,0.5625753,,0.0940893,0.524393,0.3322891,0.4013672,0.0988525,0.078811,,0.3820868,0.4593357,0.6571267,0.9085792,,0.4436683,,,,0.2481678,,0.5491391,0.5198919,0.6262437,0.454595,0.335822,0.6062335,0.6871066,0.5581188,0.3550333,0.6106324,0.5944026,0.2511731,0.4060083,0.4965751,0.2959745,0.6592056,0.6156111,,0.3764603,0.3675887,,0.2584867,0.3210698,0.8409387,,0.5366839,0.3137178,0.5051965,
m1965,0.4487191,0.3502382,0.5015665,0.8510752,0.3724076,0.5152922,0.5279972,0.4792002,0.55313,0.4740561,0.4451213,0.4924838,0.3155259,0.5341073,0.5531256,0.6116492,0.4922475,0.4816486,0.7238772,0.3928707,0.4575957,0.4283972,0.4165004,0.4991943,0.544662,0.4698398,0.4135538,,0.6440657,0.4610685,0.3784856,0.311509,0.4864397,0.4118077,0.5308125,0.3858347,0.636781,0.5415011,0.3999166,0.5593425,0.4948116,0.6858173,0.3883702,0.470928,,0.3068014,0.4142127,0.2902479,0.0427734,0.4202068,0.5088393,0.5582949,0.2068473,,0.4409928,0.5389785,,0.3032341,0.5502689,,0.4066105,0.5087165,0.4758838,0.7083547,,0.4516399,,0.4603637,,0.4714046,,0.4460266,0.110996,0.3477075,0.4568791,0.4072752,0.5985732,0.3576982,0.4232679,0.4864636,0.6764916,0.5196993,0.4838807,0.5115439,0.4594711,0.4568777,0.6001832,0.6042846,0.6436028,0.4974786,0.422126,0.4857063,0.6023922,0.3073469,0.6394284,,0.6367858,0.4404246,0.4983266,0.124769
m1966,0.4038769,0.4430846,0.5030503,0.418576,0.4460351,0.5841564,0.4758717,0.4809366,0.5307485,0.2253258,0.4886849,0.5494462,0.6307953,0.454124,0.4679452,0.6012729,0.4555545,0.4416597,,0.5953455,0.2767548,0.5226931,0.3583443,0.3998419,0.5145841,0.6671827,,,0.5306099,0.6647535,0.4821357,0.4534839,0.6782571,0.3748517,0.433996,0.5942538,0.5671853,0.7670996,0.57653,0.512508,0.3764353,0.8239375,0.2337243,0.5510216,,0.31766,0.4946553,0.6916125,0.420557,0.4981894,0.3451994,0.4465414,,,0.418941,0.5582956,0.5413774,0.337248,0.6697715,,0.398179,0.5839291,0.3247353,,,0.1880562,,0.847572,,0.489097,,0.5395496,0.5256392,0.2934077,0.4704532,0.3883456,0.6609415,0.3178926,0.2941633,0.5996879,0.6250448,0.4999673,0.4607158,0.3672869,0.394834,0.5898409,0.0707824,0.6544807,0.784592,0.4095899,0.3811349,0.5062975,0.4680611,0.4690453,0.6155951,,0.4966231,0.4601556,0.5061826,
m1967,0.5278153,0.3788179,0.4959022,0.4934407,0.5176992,0.4128868,0.6885884,0.5014354,0.6369924,0.4076532,0.5700891,0.5508088,0.5188297,0.4715467,0.5202728,0.5228259,0.4843831,0.5141277,0.5243446,0.5171488,0.5136703,0.5830101,0.5100182,0.4288011,0.4743073,0.5298415,0.5005638,0.3733258,0.5310575,0.3976203,0.597335,0.5758272,0.4165246,0.5872542,0.4969018,0.6762648,0.5086308,0.4559659,0.4269674,0.5783029,0.6661617,,0.519842,0.3191607,,0.4619597,0.4801247,,,0.5648462,0.36466,0.5122772,,0.0320422,0.5054202,0.5244297,,0.6830494,0.4380092,,0.3989134,0.5057185,0.3708487,0.0625717,,0.4479554,,,,0.4952821,,0.437166,0.0818528,0.3087607,0.4792827,0.5666186,0.451375,0.5540276,0.4332125,0.5085947,0.5180885,0.3942032,0.5365625,0.4236078,0.5941655,0.5134774,0.5151827,0.4486105,0.2443539,0.6399104,0.6916832,0.7026227,0.4305467,0.5707622,0.6071581,,0.4654352,0.4883952,0.5940011,0.525958
m1968,0.4070806,0.4027894,0.601379,0.4090611,0.469932,0.2773208,0.4378698,0.6073745,0.5053297,0.3988615,0.5368727,0.4366675,0.5353941,0.656948,0.5931293,0.5820464,0.5409253,0.6082174,0.2448703,0.5757955,0.3595569,0.2930947,0.4107184,0.3749895,0.6763711,0.5607785,0.2853347,0.3362703,0.5867078,0.4670221,0.5723417,0.179496,0.2066144,0.4688588,0.441751,0.6365876,0.2748263,0.3349606,0.3415024,0.629248,0.6666736,0.2516885,0.4853264,0.330612,,0.3048667,0.5207577,0.4858835,0.3594976,0.4176784,0.2898631,0.5412503,0.8610555,0.4883038,0.6690756,0.5117426,0.5080397,0.7855478,0.4840342,,0.3422453,0.3030753,0.2894343,0.8739733,,0.2322566,,0.5617317,,0.4313427,,0.4631477,0.2024214,0.2796249,0.5959037,0.5143274,0.650675,0.5340944,0.372729,0.3283728,0.5237838,0.4785542,0.426438,0.3819554,0.4887401,0.3428065,0.3553041,0.5918926,0.6823146,0.5759045,0.3522069,0.5994079,0.3241202,0.4270647,0.5178766,,0.6046108,0.3421519,0.4892798,0.2622185
m1969,0.5789825,0.7130458,0.3829368,0.7401392,0.4566218,0.7064559,0.5390384,0.2633903,0.4365065,0.6382075,0.5688401,0.5307499,0.5152357,0.2599601,0.6979855,0.3001567,0.3498867,0.3975546,0.2477757,0.3688673,0.6524436,0.6508014,0.6687206,0.4788994,0.2168041,0.4444814,,,0.3000193,0.5350608,0.2906198,0.6529214,0.8394414,0.424049,0.5311289,0.4146318,0.5161143,0.6460954,0.3208352,0.3481028,0.6760406,,0.3910781,0.6254718,,0.7220072,0.3801305,,,0.4646085,0.6593232,0.4075691,,,0.272131,0.3995484,,0.6042016,0.3809424,,0.590165,,0.8509853,,,0.7126961,,,,0.3280747,,0.6678155,,0.3697059,0.2734017,0.6329107,0.3181534,0.4002367,0.6228802,0.758721,0.3687502,0.4620618,0.8671004,0.6982572,0.5760783,0.743359,0.5969644,0.2814004,0.6343559,0.4977903,0.5349893,0.735628,0.7743797,0.592061,0.3307383,,0.2844105,0.6931655,0.5433406,0.787031
m197,0.5446836,0.7749652,0.7344307,,0.359261,,0.6856648,0.5054392,,0.4814927,0.5579119,0.6765209,0.7293981,,0.4396565,0.7259877,0.4565635,0.2456558,,,,,0.8256619,0.2369056,0.5173982,0.555674,,,0.2936691,0.2996527,0.4135532,,,,0.2454382,0.2106031,0.6880622,0.2970899,0.0051434,,0.7187597,0.5266251,0.9204801,,,0.8070811,0.5897482,,,0.7559249,,0.1616668,,,0.3694551,,0.9485852,,,,,,,,,0.9536316,,,,0.7718007,,0.0914095,,0.7761432,0.3266603,,0.267562,,0.7167066,0.4784666,0.2354597,0.6350048,0.9069934,0.7543634,0.2839245,0.9718264,,0.3801508,,,,0.5021831,,0.3874461,0.3994989,,0.4930406,0.9552966,0.5353665,
m1970,0.5723088,0.6064459,0.4746992,0.5798906,0.4501283,0.5467057,0.63927,0.4142724,0.4998922,0.5662825,0.6066666,0.4949996,0.2819883,0.1270914,0.5089899,0.2806115,0.33155,0.365196,0.2668502,0.5106038,0.5321024,0.6738242,0.631572,0.6164585,0.2718177,0.4449339,0.8959038,,0.3500379,0.605507,0.2656531,0.3941915,0.8685499,0.3719072,0.5877652,0.3989992,0.6829146,0.5952657,0.6255131,0.4868218,0.5649088,,0.4379684,0.5382824,,0.7317142,0.4491684,,,0.4501359,0.7108968,0.5008822,,,0.3319386,0.4861912,,0.5403284,0.5712769,,0.5927472,,0.844527,,,0.5724978,,,,0.4176286,,0.6349438,,0.1781004,0.3165575,0.6297019,0.4216458,0.5531404,0.5379839,0.7162442,0.3310226,0.4737392,0.5959935,0.5439291,0.4965664,0.6645867,0.663543,0.386197,0.7869695,0.4875313,0.5900457,0.4948687,0.6444266,0.5611023,0.3183521,,0.3818498,0.673425,0.5244061,
m1971,0.5674381,0.6785236,0.3966383,0.5860061,0.4663707,0.6533574,0.5944476,0.327223,0.5508225,0.7184635,0.5872199,0.5035897,0.4103034,0.1799642,0.3701153,0.2742979,0.3327289,0.2931105,0.596561,0.4140958,0.6272398,0.7252195,0.573306,0.6137874,0.1801841,0.3942976,0.7338238,,0.2294771,0.6244064,0.3100836,0.6309114,0.9349801,0.5203604,0.6404472,0.4416872,0.5661854,0.7114342,0.2391371,,0.7834266,,0.5022875,0.6530742,,0.6949924,0.2935348,,,0.5114589,0.6986837,0.4535378,,,0.2828093,0.3927653,,0.544132,0.4422833,,0.6287702,,0.860949,,,0.5838549,,,,0.4751052,,0.5992836,,0.2938642,0.309595,0.7403578,0.4439202,0.3007309,0.6334484,0.8293114,0.3079514,0.4874293,0.611424,0.6274615,0.4656016,0.7303647,0.7255785,0.3192764,0.8591968,0.4312001,0.5391495,0.3601823,0.5813377,0.5803457,0.3029139,,0.2903273,0.7539272,0.5822874,0.2377787
m1972,0.5427878,0.6908128,0.3765462,0.6720968,0.4190564,0.7307131,0.5481555,0.3219869,0.6729353,0.6825779,0.5039694,0.5941593,0.4269014,0.1743373,0.6232297,0.2977738,0.2733518,0.3423253,0.5289274,0.4160284,0.6518272,0.567205,0.6911601,0.572904,0.1723567,0.4761812,,,0.2575392,0.4905887,0.243819,0.6358541,0.9223147,0.6478691,0.5928111,0.1589852,0.6546088,0.733377,0.2170253,,0.7235236,,0.6410718,0.571772,,0.8171998,0.2202148,,,0.5447771,0.8030486,0.4243576,,,0.2175253,0.3923735,,0.6413804,0.4782244,,0.6015694,,0.8588415,,,0.6879092,,,,0.4156625,,0.6656134,,0.349637,0.2775212,0.6927099,0.3700416,0.4938745,0.6163325,0.8173501,0.3135104,0.4900703,0.7021492,0.6583313,0.5472645,0.7790838,0.672618,0.3175153,0.8530392,0.4529181,0.5955563,0.5175615,0.6962199,0.6121795,0.7910576,,0.3992302,0.7535639,0.56535,
m1973,0.5407391,0.6453761,0.4044189,0.6754586,0.4761738,0.7856943,0.4302083,0.234675,0.4621049,0.7337639,0.4412307,0.6059351,0.5941556,0.0670076,,0.3151381,0.3649029,0.2875006,0.4395446,,0.6996561,0.6814371,0.4992244,0.625343,0.1794233,0.3408804,0.930918,,0.3689367,0.5733849,0.3218078,0.6961082,0.974713,0.6363749,0.5575021,0.427234,0.7409537,0.6468355,0.6734336,,0.9249344,,0.4341789,0.623539,,0.7757359,0.2915597,,,0.3319539,0.7272124,0.4942509,,,0.2568896,0.3378511,,0.4257111,0.4695747,,0.7529005,,0.8898924,,,0.6080805,,,,0.4656441,,0.595889,,0.1318962,0.3039314,0.8017218,0.3954765,0.3475221,0.7077778,0.7815283,0.4590166,0.4072526,0.6900396,0.5868782,0.5911867,0.7338909,0.7827019,0.4446017,,0.4535603,0.5270177,0.3158704,0.7567727,0.5646445,0.5768955,,0.2664842,0.6507227,0.519805,0.7159332
m1974,0.5779649,0.598565,0.4361628,0.8011798,0.4888049,0.5561257,0.3578049,0.4672827,0.5541733,0.4542725,0.6900134,0.5001862,0.4829085,0.194294,0.8772259,0.377339,0.3355814,0.4595702,0.6986458,0.4903257,0.5198676,0.5723237,0.50114,0.5909832,0.3520822,0.502557,0.4053962,,0.3955902,0.552197,0.4797873,0.5260817,0.5106058,0.5810635,0.556683,0.4481553,0.5357085,0.6466208,0.4114554,0.3193728,0.4524519,,0.6347196,0.5925428,,0.4670892,0.4772223,,,0.4718296,0.796142,0.5073914,,,0.4023604,0.4803621,0.5373424,0.4024973,0.5436561,,0.5820713,0.1092646,0.5935008,,,0.4741796,,,,0.5177816,,0.5515612,0.2647341,0.526656,0.3789944,0.5811435,0.514226,0.4553964,0.5562465,0.6237799,0.3520683,0.405294,0.676851,0.5895141,0.5930638,0.5534274,0.6497917,0.4237265,0.8498154,0.5244597,0.7425486,0.5781759,0.6645802,0.5768735,0.2430908,,0.4385323,0.6722986,0.5475174,
m1975,0.5311756,0.7469049,0.3450037,0.8933475,0.4829908,0.7686049,0.4020512,0.4240237,0.6271396,0.7232357,0.5969185,0.4983603,0.5334436,0.1310114,,0.2379294,0.3312627,0.2819696,0.9132824,,0.557087,0.6765387,0.4461742,0.5604221,0.1637414,0.5182577,,,0.3378806,0.4716613,0.343515,0.8259363,0.8776628,0.560777,0.4957409,0.438624,0.7388285,0.7244704,0.3726328,,0.762739,,0.5688481,0.6315377,,0.6641345,0.2961258,,,0.5942585,0.8403295,0.4476922,,,0.2352965,0.441813,,0.4878889,0.4133134,,0.5780249,,0.8805649,,,0.6437129,,,,0.4470869,,0.6321315,,0.8268742,0.2601405,0.4559262,0.4491596,0.338454,0.610136,0.8082375,0.1288279,0.3004002,0.8454486,0.6777279,0.6555235,0.7627792,0.7615325,0.2434851,0.6630767,0.4829575,0.8919794,0.663576,0.7300422,0.5622139,0.0719912,,0.3179636,0.7247608,0.5630337,
m1976,0.5602401,0.823545,0.3772965,0.972512,0.472471,0.7506137,0.4750532,0.3851625,0.5029525,0.8338478,0.5850384,0.4856041,0.4451823,0.3434729,0.5999756,0.2811211,0.3149228,0.2265546,0.9132824,,0.5039151,0.6576018,0.7470277,0.6129688,0.2187092,0.4447276,,,0.279041,0.5900151,0.2628394,0.9468022,0.897669,0.5789246,0.5692885,0.4007446,0.8685286,0.7030509,0.1196586,0.3891665,0.7468311,,0.515064,0.655362,,0.8557052,0.2079436,0.8159416,,0.4394525,0.9071479,0.4840949,,,0.2253975,0.4668753,,0.5824941,0.5023906,,0.6320214,,0.9073331,,,0.5274988,,,,0.4002177,,0.6392854,,,0.2715955,0.5316466,0.1665538,0.350195,0.5614222,0.8103388,0.2112569,0.4435359,0.9102754,0.7064155,0.5715201,0.7722053,0.6040191,0.3748309,0.1874391,0.4311062,0.7781639,0.7609666,0.7752784,0.6034752,0.2672774,,0.3955953,0.7233278,0.54613,
m1977,0.5744714,0.6293096,0.4415309,0.6432525,0.5396528,0.6909664,0.4260055,0.3792915,0.5669804,0.7880569,0.6725369,0.5926327,0.4606235,0.2771738,,0.276641,0.2610136,0.3141552,,,0.5587307,0.7367042,0.7012374,0.5468559,0.1970226,0.3386865,,,0.2128186,0.5860589,0.3792938,0.8669904,0.8709615,0.3379369,0.6614281,0.380828,0.785669,0.7057448,0.1599061,,0.2223401,,0.4919734,0.6262167,,0.8025284,0.2092092,,,0.5570782,0.7068259,0.6197463,,,0.2951758,0.3557164,,0.4824483,0.3930078,,0.6792456,,0.9076275,,,0.5197973,,,,0.4773407,,0.6565186,,,0.2987386,0.6171906,0.1664514,0.2595417,0.5898173,0.7709679,0.2140552,0.485795,0.8355086,0.6819282,0.5592062,0.8332171,0.7844226,0.3233311,,0.5005732,0.346163,0.548255,0.7929857,0.6403098,0.6044234,,0.415017,0.7377757,0.5506429,
m1978,0.5009891,0.5968035,0.3152767,0.9881944,0.4562426,0.7361307,0.4673204,0.3891262,0.5424552,0.6070519,0.597962,0.4722058,0.4993776,0.1985854,,0.2955153,0.2983858,0.3826297,0.9402403,,0.467064,0.7117794,0.7537361,0.5035187,0.1918135,0.4673941,,,0.3988422,0.4209966,0.3187808,0.9057713,0.8403934,0.3813962,0.4740091,0.3168915,0.624078,0.7152664,0.2594806,,,,0.5249402,0.5771898,,0.8199248,0.1930629,,,0.7734535,0.793278,0.4553691,,,0.1896797,0.3930499,,0.6218661,0.5781103,,0.7060819,,0.9052929,,,0.7618958,,,,0.3801908,,0.4493825,,,0.2355458,0.7136942,0.1340551,,0.5712094,0.7792825,0.3503744,0.2594937,0.7728236,0.5705876,0.6378467,0.7078597,0.6050041,0.2952013,,0.5829721,,0.7260255,0.5693788,0.5714155,0.5163188,,0.4893319,0.6849218,0.5420677,
m1979,0.3973813,0.6028975,0.2992105,0.9674898,0.5135575,0.7623867,0.3627129,0.3136155,0.4852999,0.7046119,0.4420782,0.4154523,0.3979918,0.136094,,0.2992854,0.2431748,0.3612316,0.7462501,,0.5476669,0.6627283,0.4111146,0.5043609,0.1638523,0.3230966,,,0.2361885,0.379461,0.3693228,0.921501,0.8939901,,0.5327753,0.5674572,0.6402909,0.7137239,0.3189957,,0.5139884,,0.4285982,0.7224544,,0.8101486,0.4082093,,,0.5181497,0.8982659,0.4713513,,,0.2318551,0.4652604,,0.1481856,0.5840601,,0.6215693,,0.8979297,,,0.5065813,,,,0.4419205,,0.5366465,,,0.1747461,0.7650044,0.4028122,,0.656098,0.8253306,0.2737005,0.2416075,0.8092389,0.6438583,0.7131831,0.7845444,0.7706374,0.3158368,0.3822376,0.5065638,,0.2415668,0.7113706,0.6443477,0.3865331,,0.6472306,0.7407267,0.5004553,
m198,0.5686986,0.5625438,0.4459595,0.4369171,0.5236116,0.5379839,0.5460224,0.4651451,0.5493266,0.592611,0.4867637,0.494656,0.473066,0.4059917,0.5869764,0.5337847,0.4335265,0.4100114,0.347815,0.4662867,0.571473,0.4876822,0.5818235,0.4987721,0.4152394,0.5862966,0.3630011,,0.5044887,0.5629562,0.4076647,0.5402567,0.4567031,0.4985965,0.5617348,0.293248,0.6385045,0.5113502,0.5613422,0.8392225,0.3431802,0.4797724,0.4359636,0.4919047,,0.6023565,0.5240508,0.0876618,0.3043605,0.6369565,0.4257339,0.5859867,0.5790779,1.0,0.4345338,0.551935,,0.3382426,0.5431317,,0.501583,0.3908932,0.5095108,,,0.636457,,,,0.4957579,,0.5786021,0.8850177,0.5958623,0.4467854,0.5205857,0.4941888,0.5717784,0.5921903,0.5354808,0.4237369,0.5696578,0.5476596,0.5028941,0.5727533,0.5324847,0.5063003,0.4451474,0.3426159,0.4980406,0.4256723,0.5250448,0.6454191,0.5801886,0.30748,,0.5465761,0.5830507,,0.160909
m1980,0.4586531,0.598733,0.4461653,0.9881944,0.558403,0.6864992,0.3609276,0.2866079,0.4786046,0.7514206,0.5076854,0.4230099,0.5836023,,,0.2139682,0.2631526,0.4450373,0.7835831,,0.452735,0.8266572,0.6631545,0.5634513,0.1659782,0.3583,,,0.20583,0.4457941,0.2728644,0.9548519,0.943291,,0.5093498,0.4607759,0.637877,0.5909498,0.0681342,,,,0.3159548,0.73436,,0.8119812,0.2330823,,,0.7028122,0.8403295,0.4724486,,,0.1727181,0.483059,,0.6492478,0.6931433,,0.497569,,0.8714335,,,0.5411518,,,,0.4851173,,0.579109,,,0.1505339,0.6879715,0.1545507,,0.6206899,0.7932455,0.1994297,0.3703952,0.8875553,0.6460385,0.6902424,0.7861538,0.6539181,0.4832872,,0.5253525,,0.1501688,0.7263548,0.5133418,,,0.284322,0.6506086,0.4908234,
m1981,0.4592996,0.7872951,0.3107198,0.9881944,0.5149911,0.8014822,0.5020346,0.2318492,0.5621058,0.7041532,0.595269,0.562147,0.6439745,,,0.2507888,0.2487535,0.4144167,0.9755304,,0.4703666,0.7622528,0.6730131,0.5344131,0.1558817,0.3965532,,,0.1764449,0.3714637,0.2929213,0.9814325,0.9327696,,0.4187962,0.4844633,,0.7477482,,,,,0.1820182,0.5958804,,0.7921181,0.1179794,,,0.4619858,0.7286082,0.3887874,,,0.1276071,0.3577967,,0.3457037,0.4550624,,0.6629876,,0.9181908,,,0.7264267,,,,0.2745329,,0.5318332,,,0.1095164,0.6890869,0.1400398,0.2471057,0.6454492,0.8707374,0.2546656,0.2626601,0.8221074,0.6495848,0.6901143,0.8233307,0.7121029,0.4072038,,0.4672747,,0.4791681,0.6152272,0.5112368,,,0.3466901,0.6892575,0.5427803,
m1982,0.4955165,0.5287714,0.5243287,0.7243524,0.4693663,0.2788044,0.5695624,0.6105464,0.3747201,0.3539157,0.4809647,0.374219,0.2468284,0.5234703,0.5395478,0.5882515,0.5605785,0.563631,0.6082179,0.1787682,0.4746669,0.377913,0.4091879,0.3477963,0.5847973,0.5775888,0.4258445,,0.4170061,0.5057514,0.3789815,0.252947,0.3058836,0.6595443,0.6025796,0.5019695,0.2696699,0.4352849,0.6129179,0.7566983,0.3747417,0.0802161,0.4611532,0.3945968,,0.3740712,0.5161185,0.2146913,0.1441597,0.5084911,0.6667994,0.5046646,,0.9043271,0.5751794,0.4669662,,0.573074,0.5773475,,0.4957997,0.3192707,0.306974,0.770969,,0.3954823,,,,0.3825374,,0.4672859,0.5643849,0.7620973,0.5239128,0.5495257,0.4876961,0.6093909,0.4438669,0.3524978,0.6328653,0.6342241,0.4483337,0.3592543,0.4183534,0.319958,0.3599208,0.5456786,0.8840555,0.48383,0.4484246,0.4788994,0.4626046,0.4925774,0.6791963,,0.5196105,0.4197092,0.5856802,0.4347084
m1983,0.5661917,0.8268727,0.3232084,0.487331,0.5430976,0.6125406,0.3752815,0.4222535,0.6098943,0.593005,0.5093412,0.5763746,0.3801254,0.2018945,0.7973231,0.3874462,0.2923256,0.2583963,0.6125847,,0.5565913,0.5562994,0.7486625,0.5336342,0.2684455,0.5758959,,,0.4467107,0.4123756,0.3286169,0.8194985,0.6618759,0.600666,0.5651004,0.316059,0.7038406,0.5956139,0.6347101,0.5731256,0.411802,0.9781523,0.6231591,0.4427445,,0.70345,0.4079172,,,0.5906298,0.8402888,0.5122161,,,0.3374738,0.5234258,,0.4820519,0.4111647,,0.6948795,,0.6990379,,,0.7451899,,,,0.4608068,,0.6256967,,0.6333917,0.28475,0.4760502,0.3586227,0.8419049,0.5466695,0.6735857,0.4313556,0.4148227,0.5851519,0.7085258,0.6434085,0.7005,0.6221784,0.352622,,0.6590905,0.7223684,0.8068398,0.7720304,0.6631021,0.2902929,,0.3677863,0.6980303,0.5083851,
